;;;;;;Min;;;;;;;
5 278;9653,98;10425,17;7415,02;6762,18;;;;;;;;;
6 280;8491,58;8741,5;6352,94;5551,57;;;;;;;;;
6 782;6839,29;7107,93;5412,38;4283,73;;;;;;;;;
7 011;6203,15;6624,05;5071,03;4071,68;;;;;;;;;
7 239;6033,92;6432,69;4903,34;4065,77;;;;;;;;;
7 386;6060,39;6460,14;4919,73;4111,86;;;;;;;;;
7 194;6199,57;6716,68;4964,04;4368,27;;;;;;;;;
7 165;6593,88;7698,36;5261,87;5140,1;;;;;;;;;
7 221;7632,96;10180,21;6904,73;7574,03;;;;;;;;;
7 246;8445,08;12299,15;8779,04;10501,37;;;;;;;;;
7 219;9029,51;13144,34;9392,92;12105,37;;;;;;;;;
7 128;9587,65;13230,98;9298,94;11791,69;;;;;;;;;
6 817;10096,38;13180,44;9212,61;11610,32;;;;;;;;;
6 431;10244,56;13129,3;9269,63;11591,9;;;;;;;;;
5 979;10343,53;12817,09;9076,16;11866,1;;;;;;;;;
5 144;10238,02;12944,54;9069,67;12084,93;;;;;;;;;
4 283;10263,54;12926,63;9050,94;12196,75;;;;;;;;;
3 805;10490,83;13220,23;9344,49;12428,32;;;;;;;;;
3 792;10648,38;13133,49;9565,34;12445,65;;;;;;;;;
3 741;11323,86;13014,3;9640,15;12199,92;;;;;;;;;
3 681;11292,95;12840,92;9308,99;11980,23;;;;;;;;;
3 643;10766,3;12360,96;8786,74;11462,57;;;;;;;;;
3 683;9841,36;11790,25;8333,69;10180,09;;;;;;;;;
3 766;9241,86;11190,68;8052,46;8267,59;;;;;;;;;
4 210;8803,88;10596,55;7431,16;6927,57;;;;;;;;;
4 898;7766,68;8853,22;6302,93;5675,32;;;;;;;;;
5 241;6388,61;7098,77;5568,65;4610,37;;;;;;;;;
5 395;5809,37;6879,03;5099,89;4014,82;;;;;;;;;
5 573;5729,74;6700,94;5007,73;3893,06;;;;;;;;;
5 652;5730,38;6674,67;4931,49;3877,36;;;;;;;;;
5 707;5765,12;6792,28;5166,17;4000,63;;;;;;;;;
5 668;6117,1;7582,05;5788,54;4513,83;;;;;;;;;
6 000;6996,41;9735,23;7671,84;6438,96;;;;;;;;;
6 499;7892,79;11805,05;9356,56;8269,27;;;;;;;;;
6 653;8476,65;12343,98;9818,64;9329,1;;;;;;;;;
6 351;8875,38;12060,38;9736,24;9240,13;;;;;;;;;
6 027;9588,49;12018,97;9606,56;9288,54;;;;;;;;;
5 722;10140,94;11890,15;9497,29;9673;;;;;;;;;
5 403;10555,69;11931,39;9220,44;9726,45;;;;;;;;;
4 849;10519,56;11779,31;9163,1;9878,57;;;;;;;;;
4 275;10189,95;11767,85;9332,75;10365,62;;;;;;;;;
